age,gender,province,education,language,religion,vote
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
45-59,Male,Ontario,High school diploma or its equivalent,English only,No,2
30-44,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,4
18-29,Male,Alberta,Bachelor's degree,English only,No,2
45-59,Male,Newfoundland and Labrador,Bachelor's degree,English only,Yes,1
60-74,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,9
60-74,Male,Ontario,Less than high school,Both English and French,Yes,1
45-59,Female,Quebec,University below the bachelor's level,French only,Yes,9
60-74,Female,Quebec,University below the bachelor's level,Both English and French,Yes,1
75+,Female,Ontario,University below the bachelor's level,Both English and French,Yes,5
45-59,Female,Quebec,Bachelor's degree,French only,Yes,1
45-59,Male,Quebec,Bachelor's degree,French only,Yes,4
45-59,Female,Ontario,Degree above the bachelor's level,Both English and French,Yes,1
60-74,Female,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
30-44,Female,Quebec,Bachelor's degree,English only,Yes,9
45-59,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,2
75+,Male,Nova Scotia,High school diploma or its equivalent,English only,Yes,2
60-74,Female,Ontario,Bachelor's degree,English only,Yes,1
75+,Female,Ontario,Degree above the bachelor's level,English only,No,1
60-74,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,2
60-74,Female,New Brunswick,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
60-74,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
30-44,Female,Quebec,Bachelor's degree,Neither English nor French,No,1
60-74,Male,Ontario,Degree above the bachelor's level,Neither English nor French,No,9
30-44,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,No,2
60-74,Male,Ontario,Bachelor's degree,English only,Yes,1
60-74,Female,Ontario,Bachelor's degree,English only,Yes,2
60-74,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
45-59,Female,Ontario,Bachelor's degree,English only,Yes,9
45-59,Female,Ontario,Bachelor's degree,English only,No,2
30-44,Female,Ontario,Bachelor's degree,English only,Yes,1
18-29,Male,Alberta,Less than high school,Neither English nor French,No,5
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,1
75+,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,4
45-59,Female,Quebec,Bachelor's degree,French only,No,5
75+,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,Yes,2
45-59,Female,Quebec,Bachelor's degree,English only,No,9
45-59,Female,Quebec,University below the bachelor's level,English only,Yes,1
60-74,Female,Quebec,High school diploma or its equivalent,French only,Yes,2
45-59,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
60-74,Female,Ontario,Bachelor's degree,English only,Yes,1
60-74,Female,Ontario,Degree above the bachelor's level,English only,Yes,9
60-74,Female,Ontario,Degree above the bachelor's level,English only,No,1
60-74,Female,Ontario,High school diploma or its equivalent,Neither English nor French,Yes,1
60-74,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,6
30-44,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
30-44,Female,Quebec,High school diploma or its equivalent,French only,Yes,2
45-59,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,2
45-59,Female,New Brunswick,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
60-74,Male,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
45-59,Male,Quebec,Degree above the bachelor's level,French only,Yes,5
60-74,Female,Quebec,Degree above the bachelor's level,French only,Yes,5
45-59,Male,Ontario,Bachelor's degree,English only,Yes,1
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,NA
45-59,Male,Ontario,University below the bachelor's level,English only,No,5
45-59,Female,Ontario,Bachelor's degree,English only,No,2
45-59,Female,Quebec,High school diploma or its equivalent,French only,No,2
60-74,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
45-59,Male,Ontario,Bachelor's degree,English only,Yes,2
45-59,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,9
45-59,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,Yes,9
45-59,Female,Ontario,University below the bachelor's level,Both English and French,Yes,7
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
45-59,Female,Ontario,University below the bachelor's level,English only,Yes,9
30-44,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
45-59,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,3
45-59,Female,British Columbia,Less than high school,English only,Yes,NA
45-59,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,2
45-59,Male,Quebec,Degree above the bachelor's level,French only,No,1
45-59,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,3
75+,Female,Ontario,High school diploma or its equivalent,English only,Yes,2
45-59,Female,Ontario,Bachelor's degree,English only,Yes,3
45-59,Female,Newfoundland and Labrador,Degree above the bachelor's level,English only,Yes,1
45-59,Female,Ontario,Bachelor's degree,English only,Yes,9
45-59,Male,Prince Edward Island,High school diploma or its equivalent,English only,No,NA
30-44,Female,Quebec,Less than high school,French only,Yes,NA
18-29,Female,Quebec,University below the bachelor's level,Both English and French,Yes,9
60-74,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,3
45-59,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
60-74,Male,Ontario,Degree above the bachelor's level,English only,Yes,5
18-29,Male,Nova Scotia,Degree above the bachelor's level,English only,Yes,1
45-59,Male,Quebec,Bachelor's degree,Both English and French,No,9
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,2
60-74,Male,Quebec,Bachelor's degree,French only,Yes,5
30-44,Male,Quebec,University below the bachelor's level,French only,Yes,2
45-59,Female,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,Yes,NA
45-59,Female,Ontario,Degree above the bachelor's level,Neither English nor French,Yes,1
60-74,Female,Newfoundland and Labrador,University below the bachelor's level,English only,No,NA
45-59,Male,Ontario,High school diploma or its equivalent,English only,No,9
45-59,Female,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,Yes,9
30-44,Female,Ontario,Bachelor's degree,English only,Yes,5
60-74,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,2
60-74,Female,Nova Scotia,High school diploma or its equivalent,English only,No,NA
45-59,Female,Quebec,High school diploma or its equivalent,English only,No,5
45-59,Male,Quebec,Degree above the bachelor's level,French only,Yes,2
45-59,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
30-44,Male,Manitoba,Bachelor's degree,Both English and French,Yes,2
30-44,Female,Quebec,Bachelor's degree,French only,Yes,6
75+,Female,Ontario,High school diploma or its equivalent,English only,Yes,2
45-59,Male,Ontario,Degree above the bachelor's level,English only,Yes,2
45-59,Female,Ontario,Bachelor's degree,English only,Yes,1
60-74,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,2
